decision_item,value,rationale
/081 config — feature stack,"V3_FEATURE_COLUMNS_TOP_N (14): max_dd_window_50, ema_spread_atr_20, ret_kurt_50, ret_skew_200, range_realized_vol_50, hurst_diff_100_50, ret_kurt_200, hurst_100, btc_ret_14d, ret_skew_50, vwap_dev_20, ret_autocorr_lag1_50, sym_vs_btc_ret_7d, regime_momentum_signed_5d","UNCHANGED from /059 — HEAD already == /059 (verified T1 knob: no feature drift; /063 mass-expansion, /064 +adx_14, /076 range_efficiency_50 all reverted)."
/081 config — universe,"BCHUSDT, LDOUSDT, TRXUSDT (3 sym)",UNCHANGED from /059 — HEAD already == /059 (T1 knob 4: ADA experiments /069 + /078 both reverted).
/081 config — labeling,"triple-barrier, ATR (atr_tp=2.0, atr_sl=1.0) universal (V3_ATR_MULTIPLIERS_PER_SYMBOL={}), 21-candle (10080-min) timeout","UNCHANGED from /059 — HEAD already == /059 (T1 knobs 2,3,7: /065 SL-widen reverted /070, /073 per-symbol reverted /074, /072 fixed-horizon reverted /073, /068 timeout reverted /069)."
/081 config — risk stack,"7-primitive: BTC trend kill (15%,14d), vol scaling, ADX (20.0 global), Hurst regime (DISABLED), feature z-score OOD (|z|>2.0), low-vol filter, hit-rate (DISABLED). Per-symbol cap DISABLED. Regime gate DISABLED. Per-symbol drawdown brake DISABLED.",UNCHANGED from /059 EXCEPT the one revert below.
/081 config — THE ONE REVERT,vol_scale_floor_per_symbol: {'TRXUSDT': 0.5} -> {} (empty),"MANDATED by the T1/T2 audit. The /061 TRX vol-floor is ILLEGITIMATE ACCRETION (INERT EXPLORATION, never merged, no tag, not in /070 bundle). Reverting it makes /081 measure the genuine /059 canonical config. This is a measurement-integrity correction, NOT a new axis — it removes a never-merged EXPLORATION axis. Mirrors the /070-closeout precedent (revert 8bdf392 stripped the rejected /065 SL-widening)."
/081 run spec — mode,DEFAULT (NOT --exploration) => ENSEMBLE_SIZE=10 unified,Per feedback_v3_unified_10seed_baseline.md — CONFIRMATION mode is the 10-seed unified architecture. This is the architecture /059 used.
/081 run spec — seeds / trials,"--seeds 2 (ignored; deprecated under unified arch — logs warning), --n-trials 35, ENSEMBLE_SEEDS = full 10-tuple",Per feedback_v3_confirmation_n_trials_35.md (n_trials=35) + feedback_v3_outer_seed_cap_2_v3.md. Total Optuna trials = 35 x 3 sym x 10 seeds = 1050 (identical to /059).
/081 run spec — wall-clock + command,"HARD CAP 6h (per feedback_v3_cadence_discipline.md; /059 ran 3.60h, /070 ran 3.13h). Command: uv run python run_baseline_v3.py --clean-oof",No --exploration flag. --clean-oof per feedback_v3_oof_parquet_guardrail.md.
re-validation logic — CONFIRMED branch,IF /081 IS Δ within ±0.20 of +1.0894 AND /081 OOS Δ within ±0.20 of +0.5791 (vs BASELINE_V3 /059) => /059 CONFIRMED; BASELINE_V3.md UNCHANGED; no new tag.,"Tolerance ±0.20 monthly Sharpe = the v3 EXPLORATION OOS noise band, applied symmetrically to IS+OOS. Rationale: /081 reruns /059's exact architecture+config (post-revert) on a machine where Optuna TPE at n_trials=35 explores stochastically run-to-run, plus ~2 months OOS data growth. A reproduction inside ±0.20 IS the expected outcome and confirms /059."
re-validation logic — RE-ANCHOR branch (drift),"IF /081 drifts beyond ±0.20 on EITHER axis => apply feedback_v3_baseline_update_policy.md + feedback_v3_strict_both_is_oos_baseline.md: BASELINE_V3.md RE-ANCHORS to /081 numbers ONLY IF /081 beats /059 on BOTH IS AND OOS Sharpe; OOS-only or IS-only improvement => NO re-anchor (record as drift, /059 stays canonical with a staleness note).","BOTH-must-improve is the binding rule. A CONFIRMATION that reproduces the config can still RE-ANCHOR upward if data-extent growth lifted BOTH axes — that is a legitimate ratchet, not an edge claim. There is NO edge to MERGE regardless (cycle 2 = 0 PROMISING) — the only question is CONFIRM vs RE-ANCHOR of the /059 numbers."
re-validation logic — hard-blocking gates,"Gate 3 (OOS/IS ≥ 0.5), Gate 6 (PSR > 0.95), Gate 10-CPCV (frac_positive_paths ≥ 0.55) remain hard-blocking per feedback_v3_baseline_update_policy.md. If any FAIL, no RE-ANCHOR even on a BOTH-improve result.","Aspirational gates (IS/OOS ≥ +1.0 floors, top-symbol ≤ 30%, OOS trades ≥ 130, legacy DSR) inform priorities but do NOT block a baseline ratchet — same policy as /059's own RE-ANCHOR."
expected outcome,/059 CONFIRMED (most likely) or a small upward RE-ANCHOR if OOS data-extent growth lifted both axes,"/077 found the /060-config OOS drifted +0.0675 on data-extent alone over a comparable horizon. /081 fetches more OOS data still, so the OOS direction of any drift is expected POSITIVE. The IS axis has no data-extent channel (IS window is fixed by OOS_CUTOFF_DATE) — IS drift is pure Optuna run-to-run stochasticity, expected near zero."
